       CYCLE                    TASK                       JOBID               STATE         EXIT STATUS     TRIES      DURATION
197001010000    regional_spp_sppt_shum_skeb_dyn32_phy32_intel                      289789           SUCCEEDED                   0         1         218.0
197001010000    rap_control_dyn32_phy32_intel                      289791           SUCCEEDED                   0         1         272.0
197001010000    hrrr_control_dyn32_phy32_intel                      289792           SUCCEEDED                   0         1         150.0
197001010000    compile_rrfs_dyn32_phy32_faster_intel                      289758           SUCCEEDED                   0         1         338.0
197001010000    conus13km_control_intel                      289793           SUCCEEDED                   0         1         138.0
197001010000    conus13km_restart_mismatch_intel                      289801           SUCCEEDED                   0         1         101.0
197001010000    compile_rrfs_dyn64_phy32_intel                      289761           SUCCEEDED                   0         1         332.0
197001010000    rap_control_dyn64_phy32_intel                      289796           SUCCEEDED                   0         1         191.0
197001010000    compile_rrfs_dyn32_phy32_debug_intel                      289794           SUCCEEDED                   0         1         120.0
197001010000    rap_control_debug_dyn32_phy32_intel                      289802           SUCCEEDED                   0         1         207.0
197001010000    hrrr_control_debug_dyn32_phy32_intel                      289800           SUCCEEDED                   0         1         203.0
197001010000    conus13km_debug_intel                      289804           SUCCEEDED                   0         1         608.0
197001010000    conus13km_radar_tten_debug_intel                      289803           SUCCEEDED                   0         1         604.0
197001010000    compile_rrfs_dyn64_phy32_debug_intel                      289795           SUCCEEDED                   0         1         118.0
197001010000    rap_control_dyn64_phy32_debug_intel                      289805           SUCCEEDED                   0         1         216.0
197001010000     compile_hafsw_intel                      289798           SUCCEEDED                   0         1         463.0
197001010000    hafs_regional_atm_intel                      289812           SUCCEEDED                   0         1         236.0
197001010000    hafs_regional_atm_thompson_gfdlsf_intel                      289813           SUCCEEDED                   0         1         170.0
197001010000    hafs_regional_atm_ocn_intel                      289814           SUCCEEDED                   0         1         318.0
197001010000    hafs_regional_atm_wav_intel                      289817           SUCCEEDED                   0         1        1748.0
197001010000    hafs_regional_atm_ocn_wav_intel                      289816           SUCCEEDED                   0         1        1442.0
197001010000    hafs_regional_1nest_atm_intel                      289815           SUCCEEDED                   0         1         212.0
197001010000    hafs_regional_telescopic_2nests_atm_intel                      289818           SUCCEEDED                   0         1         270.0
197001010000    hafs_global_1nest_atm_intel                      289819           SUCCEEDED                   0         1         106.0
197001010000    hafs_global_multiple_4nests_atm_intel                      289831                DEAD                   1         3         213.0
197001010000    hafs_regional_specified_moving_1nest_atm_intel                      289821           SUCCEEDED                   0         1         152.0
197001010000    hafs_regional_storm_following_1nest_atm_intel                      289822           SUCCEEDED                   0         1         147.0
197001010000    hafs_regional_storm_following_1nest_atm_ocn_intel                      289823           SUCCEEDED                   0         1         181.0
197001010000    hafs_global_storm_following_1nest_atm_intel                      289825           SUCCEEDED                   0         1          54.0
197001010000       gnv1_nested_intel                      289826           SUCCEEDED                   0         1         243.0
197001010000    compile_hafsw_debug_intel                      289799           SUCCEEDED                   0         1         138.0
197001010000    hafs_regional_storm_following_1nest_atm_ocn_debug_intel                      289807           SUCCEEDED                   0         1         523.0
197001010000    compile_hafsw_faster_intel                      289797           SUCCEEDED                   0         1         421.0
197001010000    hafs_regional_storm_following_1nest_atm_ocn_wav_intel                      289810           SUCCEEDED                   0         1        1606.0
197001010000    hafs_regional_storm_following_1nest_atm_ocn_wav_inline_intel                      289811           SUCCEEDED                   0         1        1630.0
197001010000    compile_hafs_mom6w_intel                      289806           SUCCEEDED                   0         1         450.0
197001010000    hafs_regional_storm_following_1nest_atm_ocn_wav_mom6_intel                      289827           SUCCEEDED                   0         1        1105.0
197001010000    compile_hafs_all_intel                      289808           SUCCEEDED                   0         1         440.0
197001010000    hafs_regional_docn_intel                      289828           SUCCEEDED                   0         1         289.0
197001010000    hafs_regional_docn_oisst_intel                      289829           SUCCEEDED                   0         1         285.0
197001010000    hafs_regional_datm_cdeps_intel                      289830           SUCCEEDED                   0         1         699.0
197001010000    compile_datm_cdeps_intel                      289809           SUCCEEDED                   0         1         233.0
197001010000    datm_cdeps_control_cfsr_intel                      289832           SUCCEEDED                   0         1         110.0
197001010000    datm_cdeps_control_gefs_intel                      289833           SUCCEEDED                   0         1         108.0
197001010000    datm_cdeps_iau_gefs_intel                      289835           SUCCEEDED                   0         1         110.0
197001010000    datm_cdeps_stochy_gefs_intel                      289834           SUCCEEDED                   0         1         111.0
197001010000    datm_cdeps_ciceC_cfsr_intel                      289836           SUCCEEDED                   0         1         114.0
197001010000    datm_cdeps_bulk_cfsr_intel                      289837           SUCCEEDED                   0         1         106.0
197001010000    datm_cdeps_bulk_gefs_intel                      289838           SUCCEEDED                   0         1         107.0
197001010000    datm_cdeps_mx025_cfsr_intel                      289839           SUCCEEDED                   0         1         412.0
197001010000    datm_cdeps_mx025_gefs_intel                      289840           SUCCEEDED                   0         1         388.0
197001010000    datm_cdeps_3072x1536_cfsr_intel                      289841           SUCCEEDED                   0         1         170.0
